from,to,brand,bucket
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/KONE Konexion Electrical Scheme Cover.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/KONE Konexion Electrical Scheme Cover.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/KONE LCE Wiring Diagrams.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/KONE LCE Wiring Diagrams.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/KONE LCE Wiring Diagrams__dup1.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/KONE LCE Wiring Diagrams__dup1.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/KONE LCE Wiring Diagrams__dup2.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/KONE LCE Wiring Diagrams__dup2.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/KONE LCE Wiring Diagrams__dup3.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/KONE LCE Wiring Diagrams__dup3.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/KONE Liberty TAC 5 Drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/KONE Liberty TAC 5 Drawings.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/KONE Machine Room Cable Diagram.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/KONE Machine Room Cable Diagram.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/KONE Minispace Power Supply Circuit Diagram.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/KONE Minispace Power Supply Circuit Diagram.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/KONE MonoSpace 2 1 Power Supply and Safety Circuit Connections.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/KONE MonoSpace 2 1 Power Supply and Safety Circuit Connections.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/KONE O and K ESQUEMA - KONE O.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/KONE O and K ESQUEMA - KONE O.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/KONE Signal Input Connector Diagram.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/KONE Signal Input Connector Diagram.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/KONE WIRING DIAGRAMS 1.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/KONE WIRING DIAGRAMS 1.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Kone - Buzz circuit diagram 1 button.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Kone - Buzz circuit diagram 1 button.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Kone - Buzz circuit diagram 2 button.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Kone - Buzz circuit diagram 2 button.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Kone - EBD Spares.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Kone - EBD Spares.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Kone - Improvements for Dynamic Braking.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Kone - Improvements for Dynamic Braking.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Kone - LCE Wiring Diagrams.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Kone - LCE Wiring Diagrams.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Kone - LE LP twin powered doors wiring diagram.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Kone - LE LP twin powered doors wiring diagram.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Kone - MRL KDL.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Kone - MRL KDL.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Kone - Mono R2 KSS V3f16L Dwgs.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Kone - Mono R2 KSS V3f16L Dwgs.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Kone - VM wiring diagram.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Kone - VM wiring diagram.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Kone - cover dup16.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Kone - cover dup16.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Kone - wiring concept - path of circuits.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Kone - wiring concept - path of circuits.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Kone - wiring diagram.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Kone - wiring diagram.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Kone - wiring loom.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Kone - wiring loom.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/KoneXion Car Interface Wiring Detail.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/KoneXion Car Interface Wiring Detail.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/LCE 375 ESQUEMA II - KONE.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/LCE 375 ESQUEMA II - KONE.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/LCE 375 ESQUEMA K014123 - KONE.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/LCE 375 ESQUEMA K014123 - KONE.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/LCE ESQUEMA 812300E03 - KONE LCE.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/LCE ESQUEMA 812300E03 - KONE LCE.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/LP1000 Setting Instructions and Electrical Drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/LP1000 Setting Instructions and Electrical Drawings.pdf,Kone,high_confidence
